municipality,state,year,lat,lon,altitude,ndvi_vigor,ndwi_moisture,lst_temp,root_zone_wetness,evapotranspiration,clay_content2,annual_rainfall,extreme_event,disease_score,orange_price_real,fcoj_price_ny_lag1,urea_price_lag1,phosphate_price_lag1,kcl_price_lag1,harvested_area_ha,production_ton,yield_t_ha,economic_efficiency,
Frutal,MG,1985,-20.035218,-48.999708,513.89,0.0000,0.0000,0.0000,0.00000,0.0000,28.6589,1485.0628,1,0,0.67,170.59,248.96,54.82,139.47,5600,23878.40,4.26,1.87,
Avare,SP,1985,-23.073834,-48.894245,703.21,0.1326,0.0105,25.2427,0.00000,0.0000,43.3155,1237.7984,1,0,0.67,170.59,248.96,54.82,139.47,49,800.00,16.33,7.17,
Bebedouro,SP,1985,-20.939926,-48.510172,573.15,0.0000,0.0000,0.0000,0.00000,0.0000,29.2673,1317.6916,1,0,0.67,170.59,248.96,54.82,139.47,35796,554000.00,15.48,6.80,
Casa Branca,SP,1985,-21.799796,-47.087518,655.48,0.1110,-0.0017,26.4892,0.00000,0.0000,35.1306,1286.6799,1,0,0.67,170.59,248.96,54.82,139.47,7353,120000.00,16.32,7.17,
Itapetininga,SP,1985,-23.644648,-48.122936,668.28,0.1050,-0.0076,24.3695,0.00000,0.0000,36.2056,1042.5391,1,0,0.67,170.59,248.96,54.82,139.47,612,11260.80,18.40,8.08,
Matao,SP,1985,-21.609602,-48.430162,582.56,0.0873,-0.0082,27.2129,0.00000,0.0000,29.4754,1300.8652,1,0,0.67,170.59,248.96,54.82,139.47,10126,135060.00,13.34,5.86,
Santa Cruz Do Rio Pardo,SP,1985,-22.808644,-49.568133,542.29,0.1291,0.0131,24.2342,0.00000,0.0000,35.9800,1182.9393,1,0,0.67,170.59,248.96,54.82,139.47,30,480.00,16.00,7.03,
Votuporanga,SP,1985,-20.457345,-49.988931,466.76,0.0000,0.0000,0.0000,0.00000,0.0000,22.3793,1312.7869,1,0,0.67,170.59,248.96,54.82,139.47,1263,18237.60,14.44,6.34,
Frutal,MG,1986,-20.035218,-48.999708,513.89,0.0835,-0.0313,29.7940,0.00000,0.0000,28.6589,1332.8672,0,0,0.57,139.38,187.02,60.31,139.41,5600,22400.00,4.00,1.71,
Avare,SP,1986,-23.073834,-48.894245,703.21,0.1458,0.0438,23.7189,0.00000,0.0000,43.3155,1631.2611,0,0,0.57,139.38,187.02,60.31,139.41,49,800.00,16.33,6.97,
Bebedouro,SP,1986,-20.939926,-48.510172,573.15,0.1248,-0.0063,30.1944,0.00000,0.0000,29.2673,1470.7005,0,0,0.57,139.38,187.02,60.31,139.41,36258,548218.08,15.12,6.46,
Casa Branca,SP,1986,-21.799796,-47.087518,655.48,0.1153,0.0145,27.2259,0.00000,0.0000,35.1306,1597.3420,0,0,0.57,139.38,187.02,60.31,139.41,10000,144000.00,14.40,6.15,
Itapetininga,SP,1986,-23.644648,-48.122936,668.28,0.1264,0.0267,19.6192,0.00000,0.0000,36.2056,1465.9124,0,0,0.57,139.38,187.02,60.31,139.41,714,13600.00,19.05,8.13,
